Animaux | Chat, Chien, Lapin, Hamster, Cochon d'Inde, Perruche, Poisson rouge, Tortue, Furet
Animaux | Lion, Tigre, Panthère, Guépard, Jaguar, Puma, Lynx
Animaux | Vache, Cochon, Mouton, Chèvre, Poule, Canard, Oie, Cheval, Âne, Dinde
Animaux | Éléphant, Girafe, Rhinocéros, Hippopotame, Zèbre, Gazelle, Buffle, Autruche
Animaux | Renard, Loup, Sanglier, Cerf, Blaireau, Écureuil, Hérisson, Chevreuil
Animaux | Requin, Dauphin, Baleine, Orque, Phoque, Otarie, Méduse, Pieuvre, Raie
Animaux | Saumon, Thon, Sardine, Truite, Morue, Anchois, Carpe, Anguille
Animaux | Pigeon, Moineau, Corbeau, Mouette, Hirondelle, Merle, Pie, Rouge-gorge
Animaux | Aigle, Faucon, Hibou, Chouette, Vautour, Buse, Épervier
Animaux | Abeille, Guêpe, Frelon, Fourmi, Moustique, Mouche, Coccinelle, Papillon, Libellule, Sauterelle
Animaux | Serpent, Lézard, Crocodile, Alligator, Iguane, Caméléon, Gecko, Cobra
Animaux | Souris, Rat, Castor, Marmotte, Taupe, Belette, Loutre
Animaux | Singe, Gorille, Chimpanzé, Orang-outan, Babouin, Ouistiti, Lémurien
Animaux | Ours polaire, Manchot, Renne, Morse, Husky, Phoque, Harfang
Animaux | Escargot, Limace, Ver de terre, Chenille, Mille-pattes, Araignée, Scorpion, Tique
Animaux | Grenouille, Crapaud, Salamandre, Triton, Têtard, Axolotl
Animaux | Kangourou, Koala, Ornithorynque, Wombat, Émeu, Dingo
Nourriture | Pomme, Poire, Pêche, Abricot, Prune, Cerise, Raisin, Figue, Nectarine
Nourriture | Citron, Orange, Pamplemousse, Mandarine, Clémentine, Citron vert
Nourriture | Banane, Mangue, Ananas, Papaye, Kiwi, Litchi, Noix de coco, Fruit de la passion
Nourriture | Fraise, Framboise, Myrtille, Mûre, Groseille, Cassis, Airelle
Nourriture | Pastèque, Melon, Courge, Potiron, Citrouille, Butternut
Nourriture | Carotte, Navet, Radis, Betterave, Panais, Pomme de terre, Patate douce, Céleri
Nourriture | Épinard, Salade, Brocoli, Chou, Haricot vert, Petit pois, Courgette, Poireau, Aubergine
Nourriture | Tomate, Poivron, Concombre, Oignon, Ail, Échalote, Champignon, Artichaut
Nourriture | Basilic, Persil, Thym, Romarin, Menthe, Coriandre, Origan, Ciboulette, Laurier
Nourriture | Poivre, Sel, Paprika, Curry, Cannelle, Safran, Cumin, Gingembre, Muscade
Nourriture | Spaghetti, Macaroni, Lasagne, Ravioli, Tagliatelle, Penne, Gnocchi, Nouilles
Nourriture | Baguette, Brioche, Croissant, Pain au chocolat, Chausson aux pommes, Pain de mie, Bagel, Beignet
Nourriture | Gâteau, Tarte, Éclair, Mille-feuille, Macaron, Tiramisu, Cheesecake, Crème brûlée, Profiterole
Nourriture | Bonbon, Chewing-gum, Sucette, Caramel, Nougat, Réglisse, Guimauve, Praline
Nourriture | Céréales, Yaourt, Confiture, Miel, Beurre, Pain grillé, Granola, Compote
Nourriture | Burger, Frites, Hot-dog, Pizza, Kebab, Tacos, Nuggets, Sandwich, Wrap
Nourriture | Raclette, Fondue, Cassoulet, Pot-au-feu, Blanquette, Bœuf bourguignon, Quiche, Ratatouille, Gratin
Nourriture | Sushi, Paella, Couscous, Ramen, Chili, Tajine, Falafel, Dim sum, Pad thaï
Nourriture | Camembert, Roquefort, Comté, Brie, Mozzarella, Parmesan, Gruyère, Feta
Nourriture | Jambon, Saucisson, Bacon, Chorizo, Pâté, Rillettes, Salami, Merguez, Boudin
Nourriture | Steak, Poulet, Agneau, Porc, Veau, Dinde, Lapin, Côtelette, Rôti
Nourriture | Cacahuète, Noisette, Amande, Noix, Pistache, Noix de cajou, Pignon
Nourriture | Soupe, Bouillon, Velouté, Potage, Gaspacho, Minestrone, Consommé
Nourriture | Glace, Sorbet, Yaourt glacé, Milkshake, Granité, Esquimau
Nourriture | Omelette, Œuf au plat, Œuf dur, Œuf à la coque, Œufs brouillés, Œuf poché
Boisson | Café, Thé, Chocolat chaud, Cappuccino, Expresso, Infusion, Latte, Moka
Boisson | Bière, Vin, Champagne, Cidre, Whisky, Vodka, Rhum, Gin, Tequila, Pastis
Boisson | Mojito, Piña colada, Margarita, Spritz, Sangria, Punch, Cosmopolitan, Bloody Mary
Boisson | Eau, Limonade, Coca, Jus d'orange, Smoothie, Sirop, Thé glacé, Soda, Tonic
Transport | Voiture, Camion, Bus, Moto, Scooter, Camionnette, Taxi, Caravane, Tracteur
Transport | Vélo, Trottinette, Skateboard, Rollers, Hoverboard, Monocycle, Draisienne
Transport | Train, Métro, Tramway, TGV, Téléphérique, Funiculaire, Monorail
Transport | Avion, Hélicoptère, Montgolfière, Planeur, Deltaplane, Parachute, Drone, Fusée
Transport | Bateau, Voilier, Ferry, Sous-marin, Kayak, Canoë, Paquebot, Jet-ski, Pédalo, Radeau
Transport | Ambulance, Camion de pompier, Voiture de police, Dépanneuse, Corbillard, Fourgon
Sport | Football, Rugby, Basket, Handball, Volley, Water-polo, Football américain
Sport | Tennis, Badminton, Ping-pong, Squash, Padel, Pelote basque
Sport | Boxe, Judo, Karaté, Lutte, Taekwondo, MMA, Escrime, Sumo, Aïkido
Sport | Ski, Snowboard, Luge, Patinage, Hockey, Biathlon, Bobsleigh, Curling
Sport | Natation, Plongée, Surf, Kitesurf, Aviron, Voile, Paddle, Plongeon
Sport | Marathon, Sprint, Saut en longueur, Saut à la perche, Lancer de poids, Haies, Javelot, Triathlon
Sport | Yoga, Pilates, Musculation, Crossfit, Zumba, Aérobic, Stretching
Sport | Golf, Pétanque, Bowling, Fléchettes, Tir à l'arc, Billard, Palet
Sport | Échecs, Dames, Scrabble, Monopoly, Cluedo, Risk, Backgammon, Uno, Trivial Pursuit
Sport | Escalade, Randonnée, Spéléologie, Alpinisme, Via ferrata, Parapente, Saut à l'élastique
Sport | Équitation, Course hippique, Saut d'obstacles, Polo, Rodéo, Dressage
Musique | Guitare, Violon, Violoncelle, Harpe, Banjo, Ukulélé, Contrebasse, Mandoline
Musique | Flûte, Clarinette, Saxophone, Trompette, Trombone, Hautbois, Cor, Tuba
Musique | Batterie, Tambour, Djembé, Xylophone, Triangle, Maracas, Cymbales, Tambourin
Musique | Piano, Orgue, Synthétiseur, Accordéon, Clavecin, Harmonium
Musique | Rock, Jazz, Rap, Reggae, Blues, Métal, Électro, Classique, Country, Funk
Musique | Concert, Festival, Karaoké, Opéra, Comédie musicale, Récital, Bal
Objets | Casserole, Poêle, Marmite, Louche, Spatule, Fouet, Passoire, Râpe, Cocotte
Objets | Fourchette, Couteau, Cuillère, Baguettes, Assiette, Bol, Verre, Tasse, Soucoupe
Objets | Frigo, Congélateur, Four, Micro-ondes, Lave-vaisselle, Machine à laver, Aspirateur, Grille-pain, Mixeur
Objets | Chaise, Tabouret, Fauteuil, Canapé, Table, Bureau, Commode, Armoire, Étagère, Lit
Objets | Savon, Shampooing, Brosse à dents, Dentifrice, Serviette, Rasoir, Miroir, Peigne
Objets | Stylo, Crayon, Feutre, Marqueur, Gomme, Règle, Ciseaux, Colle, Agrafeuse, Surligneur
Objets | Marteau, Tournevis, Pince, Scie, Perceuse, Clé à molette, Niveau, Ponceuse, Burin
Objets | Lampe, Bougie, Lampadaire, Torche, Néon, Lustre, Guirlande, Veilleuse
Objets | Sac à dos, Valise, Cartable, Sacoche, Portefeuille, Trousse, Panier, Coffre, Besace
Objets | Bague, Collier, Bracelet, Boucle d'oreille, Montre, Broche, Pendentif, Chevalière
Objets | Balai, Serpillière, Éponge, Chiffon, Plumeau, Seau, Raclette, Balayette
Objets | Livre, Magazine, Journal, Bande dessinée, Roman, Dictionnaire, Cahier, Agenda, Carnet
Objets | Parapluie, Ombrelle, Éventail, Canne, Béquille, Sac de couchage, Hamac
Objets | Clé, Cadenas, Serrure, Verrou, Chaîne, Menottes, Coffre-fort
Objets | Appareil photo, Caméra, Micro, Haut-parleur, Trépied, Projecteur, Jumelles, Télescope
Vêtements | Chemise, T-shirt, Pull, Sweat, Débardeur, Polo, Gilet, Chemisier
Vêtements | Pantalon, Jean, Short, Jupe, Legging, Jogging, Bermuda, Salopette
Vêtements | Manteau, Veste, Blouson, Imperméable, Doudoune, Trench, Parka, Cape, Poncho
Vêtements | Basket, Botte, Sandale, Escarpin, Mocassin, Tong, Chausson, Ballerine, Espadrille
Vêtements | Bonnet, Casquette, Chapeau, Écharpe, Foulard, Gant, Ceinture, Cravate, Béret
Vêtements | Pyjama, Peignoir, Robe de chambre, Maillot de bain, Chaussette, Collant, Nuisette
Lieux | Rue, Avenue, Boulevard, Place, Ruelle, Impasse, Rond-point, Trottoir, Passage piéton
Lieux | Supermarché, Épicerie, Boulangerie, Boucherie, Pharmacie, Librairie, Fleuriste, Quincaillerie, Poissonnerie
Lieux | Restaurant, Bar, Café, Boîte de nuit, Cinéma, Théâtre, Opéra, Casino, Brasserie
Lieux | Musée, Galerie, Bibliothèque, Médiathèque, Château, Cathédrale, Monument, Palais
Lieux | Aéroport, Gare, Port, Station-service, Hôtel, Auberge, Camping, Motel, Péage
Lieux | Forêt, Jungle, Désert, Savane, Montagne, Colline, Vallée, Plaine, Marais, Toundra
Lieux | Mer, Océan, Lac, Rivière, Fleuve, Étang, Cascade, Torrent, Ruisseau, Canal
Lieux | Hôpital, École, Université, Mairie, Commissariat, Prison, Tribunal, Caserne, Ambassade
Lieux | Plage, Piscine, Parc, Jardin, Zoo, Aquarium, Fête foraine, Parc d'attractions, Patinoire
Lieux | Grotte, Tunnel, Cave, Mine, Catacombes, Bunker, Souterrain, Puits
Lieux | Cuisine, Salon, Chambre, Salle de bain, Garage, Grenier, Véranda, Couloir, Buanderie
Lieux | Île, Péninsule, Falaise, Dune, Récif, Lagune, Atoll, Fjord
Lieux | Pont, Viaduc, Tour, Gratte-ciel, Phare, Barrage, Aqueduc, Arc de triomphe
Métiers | Médecin, Infirmier, Chirurgien, Dentiste, Pharmacien, Vétérinaire, Kinésithérapeute, Sage-femme, Radiologue
